Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_HandSoldering",18.270000,16.940000,90.000000,top
"C2","100n","C_0603_HandSoldering",18.070000,7.790000,90.000000,top
"C3","100n","C_0603_HandSoldering",5.600000,7.013094,90.000000,top
"C4","100n","C_0603_HandSoldering",13.570000,18.890000,90.000000,top
"C5","100n","C_0603_HandSoldering",13.570000,7.540000,270.000000,top
"C6","100n","C_0603_HandSoldering",0.600000,16.663094,270.000000,top
"C9","100n","C_0603_HandSoldering",12.450000,4.563094,0.000000,top
"C10","100n","C_0603_HandSoldering",43.270000,16.940000,90.000000,top
"C11","100n","C_0603_HandSoldering",43.070000,7.790000,90.000000,top
"C12","100n","C_0603_HandSoldering",30.600000,7.013094,90.000000,top
"C13","100n","C_0603_HandSoldering",38.570000,18.890000,90.000000,top
"C14","100n","C_0603_HandSoldering",38.570000,7.540000,270.000000,top
"C15","100n","C_0603_HandSoldering",25.600000,16.663094,270.000000,top
"C18","100n","C_0603_HandSoldering",37.450000,4.563094,0.000000,top
"C19","100n","C_0603_HandSoldering",68.270000,16.940000,90.000000,top
"C20","100n","C_0603_HandSoldering",68.070000,7.790000,90.000000,top
"C21","100n","C_0603_HandSoldering",55.600000,7.013094,90.000000,top
"C22","100n","C_0603_HandSoldering",63.570000,18.890000,90.000000,top
"C23","100n","C_0603_HandSoldering",63.570000,7.540000,270.000000,top
"C24","100n","C_0603_HandSoldering",50.600000,16.663094,270.000000,top
"C27","100n","C_0603_HandSoldering",62.450000,4.563094,0.000000,top
"C28","100n","C_0603_HandSoldering",93.270000,16.940000,90.000000,top
"C29","100n","C_0603_HandSoldering",93.070000,7.790000,90.000000,top
"C30","100n","C_0603_HandSoldering",80.600000,7.013094,90.000000,top
"C31","100n","C_0603_HandSoldering",88.570000,18.890000,90.000000,top
"C32","100n","C_0603_HandSoldering",88.570000,7.540000,270.000000,top
"C33","100n","C_0603_HandSoldering",75.600000,16.663094,270.000000,top
"C36","100n","C_0603_HandSoldering",87.450000,4.563094,0.000000,top
"C37","100n","C_0603_HandSoldering",71.732142,50.886188,270.000000,top
"C38","100n","C_0603_HandSoldering",71.932142,60.036188,270.000000,top
"C39","100n","C_0603_HandSoldering",84.402142,60.813094,270.000000,top
"C40","100n","C_0603_HandSoldering",76.432142,48.936188,270.000000,top
"C41","100n","C_0603_HandSoldering",76.432142,60.286188,90.000000,top
"C42","100n","C_0603_HandSoldering",89.402142,51.163094,90.000000,top
"C45","100n","C_0603_HandSoldering",77.552142,63.263094,180.000000,top
"C46","100n","C_0603_HandSoldering",46.732142,50.886188,270.000000,top
"C47","100n","C_0603_HandSoldering",46.932142,60.036188,270.000000,top
"C48","100n","C_0603_HandSoldering",59.402142,60.813094,270.000000,top
"C49","100n","C_0603_HandSoldering",51.432142,48.936188,270.000000,top
"C50","100n","C_0603_HandSoldering",51.432142,60.286188,90.000000,top
"C51","100n","C_0603_HandSoldering",64.402142,51.163094,90.000000,top
"C54","100n","C_0603_HandSoldering",52.552142,63.263094,180.000000,top
"C55","100n","C_0603_HandSoldering",21.732142,50.886188,270.000000,top
"C56","100n","C_0603_HandSoldering",21.932142,60.036188,270.000000,top
"C57","100n","C_0603_HandSoldering",34.402142,60.813094,270.000000,top
"C58","100n","C_0603_HandSoldering",26.432142,48.936188,270.000000,top
"C59","100n","C_0603_HandSoldering",26.432142,60.286188,90.000000,top
"C60","100n","C_0603_HandSoldering",39.402142,51.163094,90.000000,top
"C63","100n","C_0603_HandSoldering",27.552142,63.263094,180.000000,top
"C64","100n","C_0603_HandSoldering",-3.267858,50.886188,270.000000,top
"C65","100n","C_0603_HandSoldering",-3.067858,60.036188,270.000000,top
"C66","100n","C_0603_HandSoldering",9.402142,60.813094,270.000000,top
"C67","100n","C_0603_HandSoldering",1.432142,48.936188,270.000000,top
"C68","100n","C_0603_HandSoldering",1.432142,60.286188,90.000000,top
"C69","100n","C_0603_HandSoldering",14.402142,51.163094,90.000000,top
"C72","100n","C_0603_HandSoldering",2.552142,63.263094,180.000000,top
"DAC1","DAC081C081_(SOT)","DAC081C081",15.070000,17.913094,0.000000,top
"DAC2","DAC081C081_(SOT)","DAC081C081",40.070000,17.913094,0.000000,top
"DAC3","DAC081C081_(SOT)","DAC081C081",65.070000,17.913094,0.000000,top
"DAC4","DAC081C081_(SOT)","DAC081C081",90.070000,17.913094,0.000000,top
"DAC5","DAC081C081_(SOT)","DAC081C081",74.932142,49.913094,180.000000,top
"DAC6","DAC081C081_(SOT)","DAC081C081",49.932142,49.913094,180.000000,top
"DAC7","DAC081C081_(SOT)","DAC081C081",24.932142,49.913094,180.000000,top
